reaction,quarter,prr,meets_signal_criteria,insufficient_data,signal_threshold
IMPAIRED GASTRIC EMPTYING,2022Q1,18.96561505219541,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2022Q2,11.19308589997752,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2022Q3,10.791945592112873,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2022Q4,,0,1,2.0
IMPAIRED GASTRIC EMPTYING,2023Q1,12.166707316310513,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2023Q2,15.551378825061935,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2023Q3,27.47830706104506,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2023Q4,32.04617385474138,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2024Q1,41.08422649140546,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2024Q2,20.65737854007805,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2024Q3,72.88204558813925,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2024Q4,97.54209552710341,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2025Q1,145.45314145314143,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2025Q2,59.858128515471925,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2025Q3,72.89374689675506,1,0,2.0
IMPAIRED GASTRIC EMPTYING,2025Q4,54.570668720366534,1,0,2.0
NAUSEA,2022Q1,6.741817058231168,1,0,2.0
NAUSEA,2022Q2,3.2034385650446198,1,0,2.0
NAUSEA,2022Q3,4.832530330295467,1,0,2.0
NAUSEA,2022Q4,2.8102675377879116,1,0,2.0
NAUSEA,2023Q1,5.238581486178163,1,0,2.0
NAUSEA,2023Q2,3.8413757696250537,1,0,2.0
NAUSEA,2023Q3,5.260352698614738,1,0,2.0
NAUSEA,2023Q4,3.7878180768595433,1,0,2.0
NAUSEA,2024Q1,4.107133911591006,1,0,2.0
NAUSEA,2024Q2,3.0437840537117986,1,0,2.0
NAUSEA,2024Q3,5.110385696536377,1,0,2.0
NAUSEA,2024Q4,3.9893305828657217,1,0,2.0
