drug,reaction,quarter,a_count,drug_total,reaction_total,all_total,source,fetched_at
semaglutide,NAUSEA,2022Q1,362,1939,11101,389741,openfda_live,2026-08-11T07:40:04.008087
semaglutide,PANCREATITIS,2022Q1,44,1939,938,389741,openfda_live,2026-08-11T07:40:08.365702
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q1,11,1939,127,389741,openfda_live,2026-08-11T07:40:10.233964
semaglutide,SUICIDAL IDEATION,2022Q1,0,1939,1098,389741,openfda_live,2026-08-11T07:40:11.782226
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q1,0,1939,24,389741,openfda_live,2026-08-11T07:40:13.330942
semaglutide,NAUSEA,2022Q2,95,866,12598,365977,openfda_live,2026-08-11T07:40:19.571993
semaglutide,PANCREATITIS,2022Q2,14,866,945,365977,openfda_live,2026-08-11T07:40:21.110109
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q2,3,866,116,365977,openfda_live,2026-08-11T07:40:22.579836
semaglutide,SUICIDAL IDEATION,2022Q2,4,866,1060,365977,openfda_live,2026-08-11T07:40:24.052204
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q2,0,866,27,365977,openfda_live,2026-08-11T07:40:25.770079
semaglutide,NAUSEA,2022Q3,375,2461,11848,366319,openfda_live,2026-08-11T07:40:31.985161
semaglutide,PANCREATITIS,2022Q3,57,2461,969,366319,openfda_live,2026-08-11T07:40:33.506145
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q3,10,2461,147,366319,openfda_live,2026-08-11T07:40:34.950987
semaglutide,SUICIDAL IDEATION,2022Q3,7,2461,971,366319,openfda_live,2026-08-11T07:40:36.419523
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q3,0,2461,20,366319,openfda_live,2026-08-11T07:40:37.976921
semaglutide,NAUSEA,2022Q4,112,1052,15287,401618,openfda_live,2026-08-11T07:40:44.132691
semaglutide,PANCREATITIS,2022Q4,15,1052,975,401618,openfda_live,2026-08-11T07:40:45.668340
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q4,0,1052,108,401618,openfda_live,2026-08-11T07:40:47.994469
semaglutide,SUICIDAL IDEATION,2022Q4,13,1052,1011,401618,openfda_live,2026-08-11T07:40:49.525671
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q4,0,1052,79,401618,openfda_live,2026-08-11T07:40:50.997806
semaglutide,NAUSEA,2023Q1,498,2934,11959,356660,openfda_live,2026-08-11T07:40:57.031196
semaglutide,PANCREATITIS,2023Q1,61,2934,1148,356660,openfda_live,2026-08-11T07:40:58.490472
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q1,11,2934,120,356660,openfda_live,2026-08-11T07:41:00.162747
semaglutide,SUICIDAL IDEATION,2023Q1,12,2934,1024,356660,openfda_live,2026-08-11T07:41:01.617497
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q1,0,2934,36,356660,openfda_live,2026-08-11T07:41:03.341563
semaglutide,NAUSEA,2023Q2,179,1354,11683,335627,openfda_live,2026-08-11T07:41:09.462096
semaglutide,PANCREATITIS,2023Q2,18,1354,975,335627,openfda_live,2026-08-11T07:41:10.940920
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q2,8,1354,135,335627,openfda_live,2026-08-11T07:41:12.449126
semaglutide,SUICIDAL IDEATION,2023Q2,22,1354,1087,335627,openfda_live,2026-08-11T07:41:14.018962
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q2,0,1354,17,335627,openfda_live,2026-08-11T07:41:15.539555
semaglutide,NAUSEA,2023Q3,614,3649,11504,344095,openfda_live,2026-08-11T07:41:21.682170
semaglutide,PANCREATITIS,2023Q3,78,3649,1047,344095,openfda_live,2026-08-11T07:41:23.232025
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q3,43,3649,189,344095,openfda_live,2026-08-11T07:41:24.794522
semaglutide,SUICIDAL IDEATION,2023Q3,51,3649,1242,344095,openfda_live,2026-08-11T07:41:26.334178
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q3,0,3649,23,344095,openfda_live,2026-08-11T07:41:27.880359
semaglutide,NAUSEA,2023Q4,175,1567,9922,332158,openfda_live,2026-08-11T07:41:33.914076
semaglutide,PANCREATITIS,2023Q4,25,1567,1055,332158,openfda_live,2026-08-11T07:41:35.414099
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q4,24,1567,182,332158,openfda_live,2026-08-11T07:41:36.850588
semaglutide,SUICIDAL IDEATION,2023Q4,54,1567,1227,332158,openfda_live,2026-08-11T07:41:38.347852
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q4,0,1567,36,332158,openfda_live,2026-08-11T07:41:39.918502
semaglutide,NAUSEA,2024Q1,537,3956,11174,325796,openfda_live,2026-08-11T07:41:46.229275
semaglutide,PANCREATITIS,2024Q1,106,3956,1182,325796,openfda_live,2026-08-11T07:41:48.562858
