drug,reaction,quarter,a_count,prr,ror,chi_sq,ci_lower,ci_upper,meets_signal_criteria,insufficient_data
semaglutide,NAUSEA,2022Q1,362,6.741817058231168,8.059849889606996,1762.7131837791787,6.132320583276513,7.411891897923511,1,0
semaglutide,PANCREATITIS,2022Q1,44,9.843451212772562,10.048787283148283,333.98735171322755,7.296893100719831,13.278738010931688,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q1,11,18.96561505219541,19.068115967949634,171.0431723782181,10.235809139311762,35.140803175648735,1,0
semaglutide,SUICIDAL IDEATION,2022Q1,0,,,,,,0,1
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q1,0,,,,,,0,1
semaglutide,NAUSEA,2022Q2,95,3.2034385650446198,3.4749387773393527,147.99082144094854,2.647730534218651,3.8757790898247393,1,0
semaglutide,PANCREATITIS,2022Q2,14,6.339943391967216,6.427688940661513,62.195174288349264,3.7559586762652604,10.701630576329071,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q2,3,11.19308589997752,11.228519570545227,27.135692941675206,3.5633730360695686,35.15915137037301,1,0
semaglutide,SUICIDAL IDEATION,2022Q2,4,1.5969933165371963,1.599763587147578,0.8918946953028185,0.5996167116391928,4.25336319611972,0,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q2,0,,,,,,0,1
semaglutide,NAUSEA,2022Q3,375,4.832530330295467,5.521503903574852,1140.6136454628775,4.3949759794498675,5.313646650726137,1,0
semaglutide,PANCREATITIS,2022Q3,57,9.240603413246648,9.435992096505824,395.2882874308544,7.091959817596895,12.040219295805247,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q3,10,10.791945592112873,10.831896410522146,82.83536332948651,5.685939770969125,20.483173293141256,1,0
semaglutide,SUICIDAL IDEATION,2022Q3,7,1.073597077057702,1.0738070116703358,0.035155102394572396,0.5109810449913658,2.2556818793274753,0,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q3,0,,,,,,0,1
semaglutide,NAUSEA,2022Q4,112,2.8102675377879116,3.025958989098812,134.77704436278134,2.3573047423734845,3.3502684196837107,1,0
semaglutide,PANCREATITIS,2022Q4,15,5.949471245247148,6.021064368370299,60.961090524271654,3.585494334266495,9.872058019933771,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2022Q4,0,,,,,,0,1
semaglutide,SUICIDAL IDEATION,2022Q4,13,4.959879835717062,5.009425974181279,40.67337708670117,2.8794590086938516,8.543413158679302,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2022Q4,0,,,,,,0,1
semaglutide,NAUSEA,2023Q1,498,5.238581486178163,6.105089523992912,1693.5429731572974,4.826009765330697,5.686423633966298,1,0
semaglutide,PANCREATITIS,2023Q1,61,6.765613192786536,6.888029623263382,284.709181544721,5.241080370403176,8.733604264665388,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q1,11,12.166707316310513,12.208730504979489,102.43804651642955,6.551565038261777,22.59441309920017,1,0
semaglutide,SUICIDAL IDEATION,2023Q1,12,1.4295771801773403,1.431341357508664,1.535271857029247,0.8100913716867587,2.5227906203079984,0,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q1,0,,,,,,0,1
semaglutide,NAUSEA,2023Q2,179,3.8413757696250537,4.274232163465807,383.80005306702975,3.3473991166485546,4.408248699735715,1,0
semaglutide,PANCREATITIS,2023Q2,18,4.6434759657904365,4.692564713832523,50.656118533060926,2.9218795191925557,7.37945178890604,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q2,8,15.551378825061935,15.637865474839419,102.51184626466353,7.626955184718891,31.709296502113713,1,0
semaglutide,SUICIDAL IDEATION,2023Q2,22,5.099830098265615,5.1675450097985305,71.2734192573224,3.354917995471666,7.752280999500077,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q2,0,,,,,,0,1
semaglutide,NAUSEA,2023Q3,614,5.260352698614738,6.122249422486056,2074.872866708938,4.882858451229077,5.667031061868718,1,0
semaglutide,PANCREATITIS,2023Q3,78,7.510090978740518,7.652288429410291,408.62420248420653,5.9767687441492106,9.4367824694861,1,0
semaglutide,IMPAIRED GASTRIC EMPTYING,2023Q3,43,27.47830706104506,27.79404949133484,847.985785692954,19.587442346387032,38.54803223353721,1,0
semaglutide,SUICIDAL IDEATION,2023Q3,51,3.995147216068997,4.03760205431789,110.21337700060967,3.0244088506309232,5.277461502843501,1,0
semaglutide,OPTIC ISCHAEMIC NEUROPATHY,2023Q3,0,,,,,,0,1
